ID,배터리용량,주행거리(km),보증기간(년),가격(백만원),연식대비_보증기간_비율,연식대비_주행거리_비율,배터리용량대비_주행거리_비율,제조사_B사,제조사_H사,제조사_K사,제조사_P사,제조사_T사,제조사_V사,모델_ID4,모델_ION5,모델_ION6,모델_IONIQ,모델_KNE,모델_M3,모델_MS,모델_MX,모델_MY,모델_Niro,모델_Q4eT,모델_RSeTGT,모델_Soul,모델_Tay,모델_TayCT,모델_TayGTS,모델_eT,모델_i3,모델_i5,모델_iX,차량상태_Nearly New,차량상태_Pre-Owned,구동방식_FWD,구동방식_RWD,사고이력_Yes,연식(년)_1,연식(년)_2
TRAIN_0016,76.093,49335,2,130.61,2.0,49335.0,639.941369514742,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0017,56.0,28687,6,22.77,6.0,28687.0,503.280701754386,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
TRAIN_0018,58.707,137749,2,75.86,2.0,137749.0,2307.082921600482,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0019,90.0,5008,10,38.81,10.0,5008.0,55.032967032967036,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0020,99.8,1405,8,63.9,8.0,1405.0,13.938492063492063,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0021,90.0,2889,7,80.38,7.0,2889.0,31.747252747252748,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
TRAIN_0022,85.00550000000001,33126,4,93.66,4.0,33126.0,385.1614140956101,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0023,56.0,27402,6,23.82,6.0,27402.0,480.7368421052632,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0024,56.623,21975,7,28.65,3.5,10987.5,381.35813824340977,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
TRAIN_0025,88.474,26876,5,84.47,2.5,13438.0,300.3777633725999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TRAIN_0026,90.0,185,7,63.15,7.0,185.0,2.032967032967033,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0027,90.0,1975,10,38.26,10.0,1975.0,21.703296703296704,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0028,58.707,151131,2,76.51,2.0,151131.0,2531.210745808699,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0029,46.169,102772,2,21.92,2.0,102772.0,2178.8038754266577,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0030,88.08,43412,3,27.53,1.0,14470.666666666666,487.3372249663224,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
TRAIN_0031,64.683,97476,2,151.0,2.0,97476.0,1484.0369654248434,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0032,90.0,1292,2,120.08,2.0,1292.0,14.197802197802197,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0033,78.227,128546,0,94.79,0.0,128546.0,1622.5024297272394,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0034,56.788,59324,0,55.44,0.0,59324.0,1026.5799127846612,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0035,70.963,25288,6,37.18,2.0,8429.333333333334,351.4028042188347,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
TRAIN_0036,90.0,2619,10,48.47,10.0,2619.0,28.78021978021978,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0037,90.0,6645,8,64.14,8.0,6645.0,73.02197802197803,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TRAIN_0038,56.0,28777,5,28.77,5.0,28777.0,504.859649122807,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
TRAIN_0039,90.0,1144,9,24.02,9.0,1144.0,12.571428571428571,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TRAIN_0040,90.0,6777,8,65.07,8.0,6777.0,74.47252747252747,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
TRAIN_0041,72.548,38960,5,57.27,2.5,19480.0,529.7220862565944,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TRAIN_0042,90.0,8998,10,39.0,10.0,8998.0,98.87912087912088,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0043,78.276,94747,2,91.61,2.0,94747.0,1195.1536404460367,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0044,56.234,108562,0,60.59,0.0,108562.0,1896.8095887060138,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
TRAIN_0045,90.0,975,7,100.38,7.0,975.0,10.714285714285714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0046,58.577,180683,0,60.78,0.0,180683.0,3032.764321802038,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
TRAIN_0047,46.169,83876,2,22.39,2.0,83876.0,1778.2017850707034,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
TRAIN_0048,46.0,197873,1,28.37,1.0,197873.0,4210.063829787234,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0049,96.0,7626,7,77.32,7.0,7626.0,78.61855670103093,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0050,84.935,26001,4,82.64,4.0,26001.0,302.5658928259731,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0051,71.841,47296,5,60.12,2.5,23648.0,649.3046498537911,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
TRAIN_0052,56.623,41003,7,27.69,3.5,20501.5,711.5735036357011,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
TRAIN_0053,90.0,5514,8,54.12,8.0,5514.0,60.59340659340659,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
TRAIN_0054,96.0,6658,7,70.22,7.0,6658.0,68.63917525773196,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0055,61.018,106528,1,61.91,1.0,106528.0,1717.694862781773,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
TRAIN_0056,93.4,9161,2,160.73,2.0,9161.0,97.04449152542372,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0057,90.0,8279,8,79.19,8.0,8279.0,90.97802197802197,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
TRAIN_0058,76.093,110041,2,124.47,2.0,110041.0,1427.3799177616645,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0059,90.0,1461,8,100.17,8.0,1461.0,16.054945054945055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0060,90.0,5550,8,64.07,8.0,5550.0,60.989010989010985,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TRAIN_0061,72.139,86478,0,89.01,0.0,86478.0,1182.37875825483,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0062,75.87,70822,3,11.12,3.0,70822.0,921.3217119812671,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
TRAIN_0063,56.0,21665,6,23.89,2.0,7221.666666666667,380.0877192982456,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
TRAIN_0064,76.093,41038,0,119.04,0.0,13679.333333333334,532.3181092965639,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
TRAIN_0065,77.46,17020,3,74.0,3.0,17020.0,216.92582207494266,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
TRAIN_0066,58.162,121459,3,35.0,3.0,121459.0,2052.990094993408,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0067,90.0,6173,7,24.93,7.0,6173.0,67.83516483516483,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
TRAIN_0068,76.093,20028,2,131.9,2.0,20028.0,259.7901236169302,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0069,59.154,84938,0,55.99,0.0,84938.0,1412.009176447119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0070,90.0,6690,7,100.0,7.0,6690.0,73.51648351648352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0071,90.0,4691,10,35.96,10.0,4691.0,51.54945054945055,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0072,78.227,193173,1,97.79,1.0,193173.0,2438.2218183195123,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0073,91.2,7031,7,64.67,7.0,7031.0,76.2581344902386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TRAIN_0074,65.4,14226,4,40.23,4.0,14226.0,214.2469879518072,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0075,90.0,6879,10,21.43,10.0,6879.0,75.5934065934066,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0076,65.739,44840,6,37.12,6.0,44840.0,671.8710199433614,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0077,90.0,1670,8,54.85,8.0,1670.0,18.35164835164835,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
TRAIN_0078,68.488,39571,6,27.07,6.0,39571.0,569.4652314068617,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
TRAIN_0079,90.0,90,7,79.21,7.0,90.0,0.989010989010989,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
TRAIN_0080,90.0,4071,10,35.86,10.0,4071.0,44.73626373626374,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0081,50.096,51091,4,28.91,4.0,51091.0,999.9021449819948,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0082,77.46,15126,3,73.26,3.0,15126.0,192.7861330614326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
TRAIN_0083,90.0,1497,8,100.65,8.0,1497.0,16.45054945054945,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0084,68.488,17063,8,27.2,2.6666666666666665,5687.666666666667,245.55318903983422,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
TRAIN_0085,90.0,5465,8,41.14,8.0,5465.0,60.05494505494506,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0086,68.125,39711,5,41.77,2.5,19855.5,574.4810126582279,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TRAIN_0087,53.325,118110,0,39.72,0.0,118110.0,2174.137137597791,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0088,72.139,194348,0,79.14,0.0,194348.0,2657.2416904797715,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0089,69.12,11004,6,68.42,2.0,3668.0,156.93097547062177,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
TRAIN_0090,90.0,847,10,48.95,10.0,847.0,9.307692307692308,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TRAIN_0091,58.982,48074,8,22.89,2.6666666666666665,16024.666666666666,801.4737754659732,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
TRAIN_0092,91.2,9790,7,65.67,7.0,9790.0,106.1822125813449,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TRAIN_0093,61.153,28181,3,54.0,3.0,28181.0,453.4133509243319,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
TRAIN_0094,90.0,3012,7,33.99,7.0,3012.0,33.0989010989011,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0095,90.0,3420,7,100.0,7.0,3420.0,37.582417582417584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0096,50.096,121482,4,22.72,4.0,121482.0,2377.5246594645373,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
TRAIN_0097,76.093,33452,2,130.66,2.0,33452.0,433.9174762948646,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0098,56.0,14280,5,23.87,2.5,7140.0,250.52631578947367,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
TRAIN_0099,90.0,2922,9,40.86,9.0,2922.0,32.10989010989011,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TRAIN_0100,90.0,6510,2,104.5,2.0,6510.0,71.53846153846153,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0101,52.78,76769,1,12.63,0.3333333333333333,25589.666666666668,1427.4637411677204,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
TRAIN_0102,90.0,4624,2,120.25,2.0,4624.0,50.81318681318681,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0103,57.861,128164,1,39.19,1.0,128164.0,2177.400995565825,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
TRAIN_0104,90.0,7752,7,79.53,7.0,7752.0,85.18681318681318,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
TRAIN_0105,48.27,35242,3,9.0,1.0,11747.333333333334,715.2831337527907,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
TRAIN_0106,93.4,4803,2,160.16,2.0,4803.0,50.87923728813559,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0107,50.096,124671,4,27.68,4.0,124671.0,2439.9365899483328,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0108,58.707,50261,2,52.51,2.0,50261.0,841.7940944947828,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
TRAIN_0109,53.602,191458,1,34.11,1.0,191458.0,3506.42833595839,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0110,90.0,26,10,48.83,10.0,26.0,0.2857142857142857,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TRAIN_0111,90.0,2194,9,21.05,9.0,2194.0,24.10989010989011,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TRAIN_0112,66.208,37497,3,64.45,3.0,37497.0,557.9246518271634,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
TRAIN_0113,80.688,15155,4,74.06,4.0,15155.0,185.52296542943884,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
TRAIN_0114,63.11,31284,5,34.48,5.0,31284.0,487.9737950397754,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0115,76.156,11401,2,159.71,2.0,11401.0,147.76556586655605,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0116,90.0,4692,8,65.94,8.0,4692.0,51.56043956043956,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
TRAIN_0117,93.4,6513,2,160.08,2.0,6513.0,68.99364406779661,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0118,66.861,21017,3,58.49,3.0,21017.0,309.7066061508082,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0119,50.096,78209,4,27.58,4.0,78209.0,1530.6286206356663,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
TRAIN_0120,76.093,77240,2,128.85,2.0,77240.0,1001.9067879055167,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0121,68.488,137776,3,27.83,3.0,137776.0,1982.7308312226571,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
TRAIN_0122,56.623,46346,7,28.18,3.5,23173.0,804.2968953369315,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
TRAIN_0123,90.0,2015,2,103.02,2.0,2015.0,22.142857142857142,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0124,90.0,9023,8,80.79,8.0,9023.0,99.15384615384616,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TRAIN_0125,90.0,6540,10,22.3,10.0,6540.0,71.86813186813187,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
